,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
2015-03-21,2106.8733333333334,1395.54,1396.4969999999998,1277.881,784.292,1344.7626666666667,2776.8,5077.579333333333
2015-03-22,2105.6466666666665,1396.98,1397.499,1278.205,786.3919999999999,1345.7933333333333,2776.8,5077.8116666666665
2015-03-23,2104.42,1398.42,1398.501,1278.529,788.492,1346.824,2776.8,5078.044
2015-03-24,2091.5,1377.5,1400.436,1273.504,785.917,1344.149,2776.8,5092.542
2015-03-25,2061.05,1355.05,1415.646,1268.696,802.173,1347.244,2792.8,5123.658
2015-03-26,2056.15,1358.15,1405.3725,1269.411,806.37,1350.342,2808.8,5136.927
2015-03-27,2061.02,1355.02,1395.099,1268.234,785.099,1347.664,2824.8,5155.559
2015-03-28,2069.4266666666667,1360.76,1380.135,1269.3046666666667,771.5086666666667,1346.7703333333334,2824.8,5155.788666666666
2015-03-29,2077.833333333333,1366.5,1365.171,1270.3753333333332,757.9183333333333,1345.8766666666666,2824.8,5156.018333333333
2015-03-30,2086.24,1372.24,1350.207,1271.446,744.328,1344.983,2824.8,5156.248
2015-03-31,2067.89,1345.89,1286.451,1265.26,688.182,1342.299,2824.8,5210.263
2015-04-01,2059.69,1329.69,1211.139,1261.265,622.626,1339.612,2840.8,5270.068
2015-04-02,2066.96,1328.96,1182.699,1260.604,595.304,1336.923,2840.8,5280.047
2015-04-03,2070.375,1330.375,1197.7515,1260.7820000000002,606.54275,1336.24975,2844.8,5271.960499999999
2015-04-04,2073.79,1331.79,1212.804,1260.96,617.7815,1335.5765000000001,2848.8,5263.874
2015-04-05,2077.205,1333.205,1227.8565,1261.138,629.02025,1334.90325,2852.8,5255.7875
2015-04-06,2080.62,1334.62,1242.909,1261.316,640.259,1334.23,2856.8,5247.701
2015-04-07,2076.33,1338.33,1290.744,1262.163,683.113,1337.331,2856.8,5225.76
2015-04-08,2081.9,1335.9,1286.433,1261.131,675.457,1334.636,2872.8,5234.96
2015-04-09,2091.18,1337.18,1266.012,1260.896,639.4085,1331.938,2872.8,5238.77
2015-04-10,2102.06,1340.06,1208.115,1261.002,603.36,1329.237,2888.8,5270.307
